ac_id,article_ids
0,thing_t3_syhm1f thing_t3_sgdbhp thing_t3_ssg74t thing_t3_t3440j thing_t3_shasbv thing_t3_t0gl1n thing_t3_siqtth thing_t3_t14k0l thing_t3_sx2s29 thing_t3_sus7og
1,thing_t3_sttf2d thing_t3_sg1hcc thing_t3_sjxdqs thing_t3_svayes thing_t3_sn9bft thing_t3_sfyven
2,thing_t3_sq6lfk thing_t3_swzd4f thing_t3_stvq2u thing_t3_sgvzpy thing_t3_swnizo
3,thing_t3_stkibj thing_t3_ss14t9 thing_t3_sjex70 thing_t3_sk6mck thing_t3_suj1hr thing_t3_sngdyu thing_t3_stnz08 thing_t3_stslrh thing_t3_sqtz33
4,thing_t3_t0x8q6 thing_t3_sj2ilb thing_t3_sss2p4 thing_t3_svcc8v thing_t3_sjdh5l thing_t3_siia5l thing_t3_sgp3lt
5,thing_t3_t0xyrx thing_t3_t2go5k thing_t3_t0yl9i
6,thing_t3_sw5ugt thing_t3_sh796q
7,thing_t3_sukmiv
8,thing_t3_squj4v
9,thing_t3_sfbb6r